id,category,description,location,riskLevel
3269,other,washing machine in laundry room vibrating violently and leaking soapy water,Central Canteen Kitchen Area,medium
2693,sanitation,sanitation duct overflowing with gray water into rear courtyard,Hostel A Ground Floor Lobby,medium
3189,other,clock in study room is running 15 minutes slow,Hostel A Ground Floor Lobby,low
1480,plumbing,toilet flush mechanism broken and overflowing into drainage pan. Please resolve this quickly.,Hostel F Room 118,medium
1823,network,"complete blackout of all communication channels, internet and VoIP down campus-wide",Hostel F Room 118,high
1169,electrical,Two sockets in room 214 have completely stopped providing power,Library 2nd Floor Reading Hall,medium
2699,sanitation,cockroach and pest infestation noticed in pantry cabinets and floor washroom. Very concerning situation.,Hostel B Balcony,medium
1873,network,campus-wide network and core firewall crash during online placement exams,Hostel E Water Tank Area,high
1442,plumbing,toilet flush mechanism broken and overflowing into drainage pan,Hostel D Cafeteria,medium
3327,other,severe allergic reaction / anaphylaxis emergency in dining hall,Hostel D Server Rack Room,high
1446,plumbing,Hot water geyser not heating and leaking water from bottom connection,Central Canteen Kitchen Area,medium
3217,other,student trapped inside study room due to jammed door knob,Hostel D Room 412,medium
3313,other,"deadly venomous snake sighted inside student room under bed, urgent wildlife rescue",Hostel B Main Electrical Room,high
1024,electrical,ceiling tube light flickers intermittently when switched on in the evening. Affecting multiple students.,Gymnasium Locker Room,low
2807,security,door peephole on room door is scratched and foggy. Reported this earlier today.,Gymnasium Locker Room,low
1913,fire_safety,fire safety instruction poster in corridor is torn and needs replacement,Hostel E Water Tank Area,low
2640,sanitation,garbage pile uncollected for 4 days outside hostel block attracting flies,Hostel F Room 118,medium
1416,plumbing,foul smelling dirty water coming out from tap in hostel wing. Please send someone to check as soon as possible.,Gymnasium Locker Room,medium
1831,network,server room network rack caught fire with melted switch cables. Affecting multiple students.,Hostel B Corridor 3rd Floor,high
2469,structural,Roof concrete slab cracking open with pieces falling into top floor rooms. very concerning situation.,Academic Block 1 Room 101,high
2633,sanitation,waste disposal bin broken and spilling contaminated waste into corridor,Hostel A Floor 2 Washroom,medium
3156,other,lost water bottle left behind in common room lounge. Kindly update ticket status once inspected.,Hostel E Water Tank Area,low
2857,security,Locker padlock key feels slightly worn out,Hostel C Room 305,low
2746,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Hostel D Cafeteria,high
2760,sanitation,fecal matter and sewage overflow flooding hallway and entering student living areas,Central Canteen Kitchen Area,high
1073,electrical,room switchboard has a slightly loose switch for the fan,Hostel D Terrace Access,low
2976,security,"theft reported from unattended room on floor 3, laptop and wallet stolen",Hostel C Wing West Common Area,medium
3114,other,Bookshelf in common area needs reorganizing. very concerning situation.,Hostel A Room 102,low
2998,security,electronic biometric access door stuck in open position allowing anyone entry,Hostel F Room 118,medium
1702,network,"wifi access point on 2nd floor completely dead, no SSID broadcasting",Hostel A Room 102,medium
1984,fire_safety,Fire safety instruction poster in corridor is torn and needs replacement. noticeable smell and noise.,Hostel C Staircase,low
2679,sanitation,Severe rodent problem in ground floor storage room chewing cables,Library 2nd Floor Reading Hall,medium
2111,fire_safety,"active fire detected in 2nd floor pantry, flames spreading to wooden cabinets. Needs urgent inspection.",Hostel A Floor 2 Washroom,high
2265,structural,window latch in room 204 is stiff and needs oiling. Please resolve this quickly.,Hostel D Server Rack Room,low
1304,plumbing,sink drain strainer missing causing slow water flow. Affecting multiple students.,Hostel D Cafeteria,low
2313,structural,Sunshade slab outside 2nd floor window showing visible cracks and sag. noticeable smell and noise.,Hostel E Water Tank Area,medium
2871,security,Door peephole on room door is scratched and foggy,Hostel C Wing West Common Area,low
1370,plumbing,bathroom sink tap handle is a bit tight to turn off completely. Kindly update ticket status once inspected.,Hostel C Room 305,low
3143,other,notice board glass in lobby has finger smudges,Hostel D Terrace Access,low
3216,other,broken glass bottles scattered across basketball court walkway,Hostel A Floor 2 Washroom,medium
3303,other,severe chemical spill in corridor causing eye irritation and breathing distress,Hostel A Ground Floor Lobby,high
2567,sanitation,Recycling bin overflowing with empty cardboard boxes. noticeable smell and noise.,Hostel D Terrace Access,low
2509,sanitation,soap dispenser empty in common washroom. Very concerning situation.,Central Canteen Kitchen Area,low
1792,network,hostel router rebooting constantly every 10 minutes disrupting classes. Students are worried about safety.,Library 2nd Floor Reading Hall,medium
1508,plumbing,sewage pipe burst with toxic foul water overflowing across hostel hallway. Very concerning situation.,Hostel B Main Electrical Room,high
1273,electrical,student got electrical shock from metallic water cooler body on floor 2. Happening since last night.,Hostel A Ground Floor Lobby,high
2095,fire_safety,fire alarm panel beeping continuously with yellow fault warning light. Reported this earlier today.,Hostel A Dining Hall,medium
3123,other,lost water bottle left behind in common room lounge,Central Canteen Kitchen Area,low
1213,electrical,"smoke billowing from electrical duct on third floor, emergency isolation needed. Noticeable smell and noise.",Hostel A Floor 2 Washroom,high
2331,structural,large chunks of plaster fell from ceiling onto study table while room was empty,Hostel D Terrace Access,medium
1276,electrical,Heavy smoke and crackling sparks coming from distribution panel in wing b,Hostel B Corridor 3rd Floor,high
2031,fire_safety,smoke detector in corridor sounding false alarms intermittently,Central Canteen Kitchen Area,medium
2793,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Hostel D Cafeteria,high
3122,other,whiteboard marker dried out in discussion room,Hostel E Room 501,low
1116,electrical,intermittent power cut in entire wing while other wings have electricity. Please send someone to check as soon as possible.,Hostel E Room 501,medium
2523,sanitation,dustbin in common corridor is full and needs daily emptying,Hostel D Room 412,low
2450,structural,"severe structural compromise, beam cracking loudly above dining hall. Very concerning situation.",Hostel C Wing West Common Area,high
1400,plumbing,slow drip from flush tank valve into the commode,Hostel A Dining Hall,low
1631,network,ethernet port in room has a loose latch but connection works,Hostel F Room 118,low
1961,fire_safety,fire extinguisher inspection tag in hallway expired last month,Hostel A Ground Floor Lobby,low
2676,sanitation,severe rodent problem in ground floor storage room chewing cables. Please send someone to check as soon as possible.,Central Canteen Kitchen Area,medium
3255,other,broken glass bottles scattered across basketball court walkway,Hostel A Dining Hall,medium
1105,electrical,Intermittent power cut in entire wing while other wings have electricity,Hostel B Main Electrical Room,medium
2884,security,visitor sign-in book at security desk is full and needs replacement,Hostel D Server Rack Room,low
2283,structural,room door needs a stopper installed to prevent banging. Noticeable smell and noise.,Hostel C Wing West Common Area,low
2628,sanitation,sanitation duct overflowing with gray water into rear courtyard. Happening since last night.,Hostel A Ground Floor Lobby,medium
1477,plumbing,washroom drain blocked with accumulated debris causing ankle-deep puddle. Happening since last night.,Main Auditorium Hall B,medium
2671,sanitation,sewage smell rising from multiple bathroom drains on 2nd floor. Please send someone to check as soon as possible.,Hostel A Ground Floor Lobby,medium
1184,electrical,Power socket feels warm to the touch after using for an hour. noticeable smell and noise.,Hostel D Terrace Access,medium
1524,plumbing,"uncontrolled high pressure water gushing from main riser pipe, rooms submerged",Hostel F Room 118,high
2115,fire_safety,"active fire detected in 2nd floor pantry, flames spreading to wooden cabinets",Hostel A Room 102,high
2322,structural,sunshade slab outside 2nd floor window showing visible cracks and sag. Students are worried about safety.,Hostel E Room 501,medium
1971,fire_safety,dust accumulated on corridor smoke sensor casing,Gymnasium Locker Room,low
3052,security,Kidnapping or severe security threat reported on campus grounds,Hostel F Room 118,high
1693,network,campus intranet portal loading slowly on mobile devices. Kindly update ticket status once inspected.,Hostel E Room 501,low
3090,security,"active break-in in progress, unauthorized person forcing doors on 3rd floor. Reported this earlier today.",Hostel C Basement Study Room,high
2724,sanitation,severe biological hazard with toxic sewage backing up into all ground floor washrooms,Hostel B Balcony,high
3064,security,"Shots or explosive sounds heard near perimeter fence, lockdown initiated",Hostel C Wing West Common Area,high
2210,structural,Room door needs a stopper installed to prevent banging,Hostel C Staircase,low
1120,electrical,fan regulator is overheating and burning odor coming from switchboard. Kindly update ticket status once inspected.,Hostel D Cafeteria,medium
2468,structural,"large section of concrete ceiling collapsed into room 214, debris on bed. Very concerning situation.",Hostel B Corridor 3rd Floor,high
2516,sanitation,water cooler drip tray needs cleaning and sanitizing,Hostel C Room 305,low
1585,plumbing,ceiling collapsing due to heavy water accumulation from overhead pipe rupture,Hostel F Room 118,high
1253,electrical,"exposed live wire hanging near wet washroom entrance, serious shock hazard",Hostel A Room 102,high
3321,other,"passenger elevator cable snapped and safety brake engaged, 4 students trapped inside in darkness",Hostel E Water Tank Area,high
1504,plumbing,"uncontrolled high pressure water gushing from main riser pipe, rooms submerged",Hostel A Dining Hall,high
2256,structural,Room door needs a stopper installed to prevent banging,Hostel E Water Tank Area,low
1646,network,intermittent ping spikes while playing online educational tutorials. Please send someone to check as soon as possible.,Hostel E Room 501,low
2271,structural,small hairline crack on bedroom plaster near the window sill,Hostel C Room 305,low
2931,security,"Room door lock mechanism broken, door cannot be securely locked from outside",Hostel A Ground Floor Lobby,medium
3008,security,"Armed intruder or violent trespasser reported inside hostel block, lockdown needed. please send someone to check as soon as possible.",Hostel C Staircase,high
1805,network,"all core routers offline, mission critical services and monitoring halted. Needs urgent inspection.",Hostel C Staircase,high
3076,security,"hostel main entry doors breached, intruder threatening occupants",Hostel B Balcony,high
1706,network,no internet connection in entire block B while other blocks are fine,Hostel C Basement Study Room,medium
1149,electrical,two sockets in room 214 have completely stopped providing power,Hostel C Basement Study Room,medium
1034,electrical,desk light bulb has gone dim over the last few days,Hostel A Room 102,low
2608,sanitation,sewage smell rising from multiple bathroom drains on 2nd floor. Needs urgent inspection.,Hostel E Room 501,medium
3062,security,"violent altercation with weapons reported in common room, students in danger",Hostel D Server Rack Room,high
1867,network,"ransomware or malicious attack suspected, all gateway routers failing simultaneously",Hostel A Dining Hall,high
2268,structural,balcony door handle is slightly loose when turning,Academic Block 1 Room 101,low
1089,electrical,desk light bulb has gone dim over the last few days. Kindly update ticket status once inspected.,Hostel C Staircase,low
2215,structural,window latch in room 204 is stiff and needs oiling,Library 2nd Floor Reading Hall,low
1038,electrical,exhaust fan switch in bathroom is stiff and makes a slight click sound. Please send someone to check as soon as possible.,Hostel C Wing West Common Area,low
1483,plumbing,continuous leak from rooftop overhead tank overflow pipe flooding balcony. Needs urgent inspection.,Hostel C Basement Study Room,medium
2102,fire_safety,"active building fire with heavy smoke, emergency evacuation underway. Please send someone to check as soon as possible.",Hostel C Staircase,high
1772,network,access point blinking red light and rejecting all authentication attempts,Hostel D Server Rack Room,medium
1252,electrical,"Exposed live wire hanging near wet washroom entrance, serious shock hazard. reported this earlier today.",Hostel B Balcony,high
2932,security,"theft reported from unattended room on floor 3, laptop and wallet stolen. Kindly update ticket status once inspected.",Hostel D Cafeteria,medium
2467,structural,major structural pillar in basement shows wide cracks and exposed rebar buckling,Main Auditorium Hall B,high
3394,other,severe allergic reaction / anaphylaxis emergency in dining hall. Happening since last night.,Academic Block 1 Room 101,high
2552,sanitation,recycling bin overflowing with empty cardboard boxes. Students are worried about safety.,Hostel A Ground Floor Lobby,low
2480,structural,Major structural pillar in basement shows wide cracks and exposed rebar buckling,Hostel D Room 412,high
